date;serial_number;failure;smart_5_normalized;smart_5_raw;smart_187_normalized;smart_187_raw;smart_188_normalized;smart_188_raw;smart_197_normalized;smart_197_raw;smart_198_normalized;smart_198_raw
03.01.2020;ZCH0CJ7L;0;100;3128;100;0;100;0;100;0;100;0
04.01.2020;ZCH0CJ7L;0;100;3184;100;0;100;0;100;0;100;0
05.01.2020;ZCH0CJ7L;0;100;3184;100;0;100;0;100;0;100;0
06.01.2020;ZCH0CJ7L;0;100;3184;100;0;100;0;100;0;100;0
07.01.2020;ZCH0CJ7L;0;100;3192;100;0;100;0;100;0;100;0
08.01.2020;ZCH0CJ7L;0;100;3360;100;0;100;0;100;0;100;0
09.01.2020;ZCH0CJ7L;0;100;3368;100;0;100;0;100;0;100;0
10.01.2020;ZCH0CJ7L;0;100;3368;100;0;100;0;100;0;100;0
11.01.2020;ZCH0CJ7L;0;100;3384;100;0;100;0;100;0;100;0
12.01.2020;ZCH0CJ7L;0;100;3432;100;0;100;0;100;0;100;0
13.01.2020;ZCH0CJ7L;0;100;3448;100;0;100;0;100;0;100;0
14.01.2020;ZCH0CJ7L;0;100;3576;100;0;100;0;100;0;100;0
15.01.2020;ZCH0CJ7L;0;100;3576;100;0;100;0;100;0;100;0
16.01.2020;ZCH0CJ7L;0;100;3576;100;0;100;0;100;0;100;0
17.01.2020;ZCH0CJ7L;0;100;3584;100;0;100;0;100;0;100;0
18.01.2020;ZCH0CJ7L;0;100;3600;100;0;100;0;100;0;100;0
19.01.2020;ZCH0CJ7L;0;100;3664;100;0;100;0;100;0;100;0
20.01.2020;ZCH0CJ7L;0;100;3664;100;0;100;0;100;0;100;0
21.01.2020;ZCH0CJ7L;0;99;3880;100;0;100;0;100;0;100;0
22.01.2020;ZCH0CJ7L;0;99;3888;100;0;100;0;100;0;100;0
23.01.2020;ZCH0CJ7L;0;99;3896;100;0;100;0;100;0;100;0
24.01.2020;ZCH0CJ7L;0;99;3896;100;0;100;0;100;0;100;0
25.01.2020;ZCH0CJ7L;0;99;3904;100;0;100;0;100;0;100;0
26.01.2020;ZCH0CJ7L;0;99;3912;100;0;100;0;100;0;100;0
27.01.2020;ZCH0CJ7L;0;99;3912;100;0;100;0;100;0;100;0
28.01.2020;ZCH0CJ7L;0;99;3920;100;0;100;0;100;0;100;0
29.01.2020;ZCH0CJ7L;0;99;4112;100;0;100;0;100;0;100;0
30.01.2020;ZCH0CJ7L;0;99;4112;100;0;100;0;100;0;100;0
31.01.2020;ZCH0CJ7L;0;99;4112;100;0;100;0;100;0;100;0
01.02.2020;ZCH0CJ7L;0;99;4112;100;0;100;0;100;0;100;0
02.02.2020;ZCH0CJ7L;0;99;4112;100;0;100;0;100;0;100;0
03.02.2020;ZCH0CJ7L;0;99;4120;100;0;100;0;100;0;100;0
04.02.2020;ZCH0CJ7L;0;99;4120;100;0;100;0;100;0;100;0
05.02.2020;ZCH0CJ7L;0;99;4120;100;0;100;0;100;0;100;0
06.02.2020;ZCH0CJ7L;0;99;4120;100;0;100;0;100;0;100;0
07.02.2020;ZCH0CJ7L;0;99;4120;100;0;100;0;100;0;100;0
08.02.2020;ZCH0CJ7L;0;99;4120;100;0;100;0;100;0;100;0
09.02.2020;ZCH0CJ7L;0;99;4128;100;0;100;0;100;0;100;0
10.02.2020;ZCH0CJ7L;0;99;4128;100;0;100;0;100;0;100;0
11.02.2020;ZCH0CJ7L;0;99;4128;100;0;100;0;100;0;100;0
12.02.2020;ZCH0CJ7L;0;99;4144;100;0;100;0;100;0;100;0
13.02.2020;ZCH0CJ7L;0;99;4152;100;0;100;0;100;0;100;0
14.02.2020;ZCH0CJ7L;0;99;4152;100;0;100;0;100;0;100;0
15.02.2020;ZCH0CJ7L;0;99;4152;100;0;100;0;100;0;100;0
16.02.2020;ZCH0CJ7L;0;99;4152;100;0;100;0;100;0;100;0
17.02.2020;ZCH0CJ7L;0;99;4152;100;0;100;0;100;0;100;0
18.02.2020;ZCH0CJ7L;0;99;4152;100;0;100;0;100;0;100;0
19.02.2020;ZCH0CJ7L;0;99;4224;100;0;100;0;100;0;100;0
20.02.2020;ZCH0CJ7L;0;99;4264;100;0;100;0;100;0;100;0
21.02.2020;ZCH0CJ7L;0;99;4280;100;0;100;0;100;0;100;0
22.02.2020;ZCH0CJ7L;0;99;4280;100;0;100;0;100;0;100;0
23.02.2020;ZCH0CJ7L;0;99;4336;100;0;100;0;100;0;100;0
24.02.2020;ZCH0CJ7L;0;99;4776;100;0;100;0;100;0;100;0
25.02.2020;ZCH0CJ7L;0;99;5616;98;2;100;0;100;0;100;0
26.02.2020;ZCH0CJ7L;0;99;6232;97;3;100;0;100;0;100;0
27.02.2020;ZCH0CJ7L;0;99;6272;97;3;100;0;100;0;100;0
28.02.2020;ZCH0CJ7L;0;99;6296;97;3;100;0;100;0;100;0
29.02.2020;ZCH0CJ7L;0;99;6296;97;3;100;0;100;0;100;0
01.03.2020;ZCH0CJ7L;0;99;6456;97;3;100;0;100;0;100;0
02.03.2020;ZCH0CJ7L;0;98;7696;94;6;100;0;100;8;100;8
03.03.2020;ZCH0CJ7L;0;98;9864;91;9;100;0;100;8;100;8
04.03.2020;ZCH0CJ7L;0;98;9936;91;9;100;0;100;8;100;8
05.03.2020;ZCH0CJ7L;0;98;10200;91;9;100;0;100;8;100;8
06.03.2020;ZCH0CJ7L;0;98;10408;91;9;100;0;100;8;100;8
07.03.2020;ZCH0CJ7L;0;98;10896;91;9;100;0;100;8;100;8
08.03.2020;ZCH0CJ7L;0;98;10896;91;9;100;0;100;8;100;8
09.03.2020;ZCH0CJ7L;0;98;10928;91;9;100;0;100;8;100;8
10.03.2020;ZCH0CJ7L;0;98;11024;91;9;100;0;100;8;100;8
11.03.2020;ZCH0CJ7L;0;98;11088;91;9;100;0;100;8;100;8
12.03.2020;ZCH0CJ7L;0;98;11088;91;9;100;0;100;8;100;8
13.03.2020;ZCH0CJ7L;0;98;11280;91;9;100;0;100;8;100;8
14.03.2020;ZCH0CJ7L;0;98;11280;91;9;100;0;100;8;100;8
15.03.2020;ZCH0CJ7L;0;98;11280;91;9;100;0;100;8;100;8
16.03.2020;ZCH0CJ7L;0;98;11280;91;9;100;0;100;8;100;8
17.03.2020;ZCH0CJ7L;0;98;11288;91;9;100;0;100;8;100;8
18.03.2020;ZCH0CJ7L;0;98;11288;91;9;100;0;100;8;100;8
19.03.2020;ZCH0CJ7L;0;98;11288;91;9;100;0;100;8;100;8
20.03.2020;ZCH0CJ7L;0;98;11288;91;9;100;0;100;8;100;8
21.03.2020;ZCH0CJ7L;0;98;11288;91;9;100;0;100;8;100;8
22.03.2020;ZCH0CJ7L;0;98;11288;91;9;100;0;100;8;100;8
23.03.2020;ZCH0CJ7L;0;98;11304;91;9;100;0;100;8;100;8
24.03.2020;ZCH0CJ7L;0;98;11304;91;9;100;0;100;8;100;8
25.03.2020;ZCH0CJ7L;0;98;11312;91;9;100;0;100;8;100;8
26.03.2020;ZCH0CJ7L;0;98;11424;91;9;100;0;100;8;100;8
27.03.2020;ZCH0CJ7L;1;97;11768;91;9;100;0;100;8;100;8
